feature,importance
add2cart,0.20073529493362482
purchase_intent,0.15800673805570317
cart_no_coupon,0.12348036765679898
coupon_used,0.09603097698991674
user_level,0.05081146761613269
is_follow_author,0.04243675255913275
last_click_gap,0.031862235889407155
freshness_score,0.029457871316052684
coupon_received,0.028018438647068416
social_influence,0.026155366760684758
conversion_path,0.022923446729380206
discount_rate,0.021585977515753516
interaction_rate,0.020415140506588787
interaction_per_image,0.014861721312441258
price,0.008946369323078768
engagement_score,0.008250876389620371
total_spend,0.007762070417659377
content_score,0.007650185523024517
title_emo_score,0.007634184109301834
avg_spend_per_purchase,0.007512446901890719
spend_per_day,0.007415713748555942
activity_density,0.007150842444433839
like_num,0.007132161454335843
register_days,0.006531298012702774
follow_num,0.006205472121152369
collect_like_ratio,0.005728112686110291
title_length,0.0056836442964839015
comment_like_ratio,0.0054549983199473845
pv_count,0.005333198875898994
collect_num,0.005160733838573879
age,0.004719069901171709
comment_num,0.004540293279167246
purchase_freq,0.004360327197985424
share_num,0.0037519095082064057
img_count,0.0022632009175374427
fans_num,0.0020980506416154723
high_pv_low_gap,0.001497776320534988
has_video,0.0004352672823247019
